averageCount	endTs	entrances	startTs
2.637	2019-03-03T05:01:13.671Z	27	2019-03-03T05:00:13.671Z
4.726	2019-03-03T05:02:13.737Z	36	2019-03-03T05:01:13.737Z
2.919	2019-03-03T05:03:13.803Z	11	2019-03-03T05:02:13.803Z
3.315	2019-03-03T05:04:14.273Z	29	2019-03-03T05:03:14.273Z
3.14	2019-03-03T05:05:14.335Z	31	2019-03-03T05:04:14.335Z
2.713	2019-03-03T05:06:14.394Z	20	2019-03-03T05:05:14.394Z
1.679	2019-03-03T05:07:14.464Z	22	2019-03-03T05:06:14.464Z
3.993	2019-03-03T05:08:14.829Z	37	2019-03-03T05:07:14.829Z
4.527	2019-03-03T05:09:14.990Z	43	2019-03-03T05:08:14.990Z
3.729	2019-03-03T05:10:15.357Z	38	2019-03-03T05:09:15.357Z
5.602	2019-03-03T05:11:15.720Z	43	2019-03-03T05:10:15.720Z
6.075	2019-03-03T05:12:16.085Z	28	2019-03-03T05:11:16.085Z
5.654	2019-03-03T05:13:16.548Z	33	2019-03-03T05:12:16.548Z
5.459	2019-03-03T05:14:16.911Z	18	2019-03-03T05:13:16.911Z
4.574	2019-03-03T05:15:16.976Z	14	2019-03-03T05:14:16.976Z
3.132	2019-03-03T05:16:17.042Z	14	2019-03-03T05:15:17.042Z
3.979	2019-03-03T05:17:17.398Z	25	2019-03-03T05:16:17.398Z
4.799	2019-03-03T05:18:17.770Z	33	2019-03-03T05:17:17.770Z
3.309	2019-03-03T05:19:17.835Z	14	2019-03-03T05:18:17.835Z
3.85	2019-03-03T05:20:18.003Z	35	2019-03-03T05:19:18.003Z
5.5	2019-03-03T05:21:18.263Z	38	2019-03-03T05:20:18.263Z
3.177	2019-03-03T05:22:18.328Z	31	2019-03-03T05:21:18.328Z
2.7560000000000002	2019-03-03T05:23:18.494Z	22	2019-03-03T05:22:18.494Z
1.7890000000000001	2019-03-03T05:24:18.558Z	19	2019-03-03T05:23:18.558Z
1.565	2019-03-03T05:25:18.723Z	20	2019-03-03T05:24:18.723Z
3.699	2019-03-03T05:26:19.086Z	34	2019-03-03T05:25:19.086Z
7.13	2019-03-03T05:27:19.151Z	19	2019-03-03T05:26:19.151Z
5.772	2019-03-03T05:28:19.216Z	23	2019-03-03T05:27:19.216Z
5.036	2019-03-03T05:29:19.582Z	21	2019-03-03T05:28:19.582Z
6.456	2019-03-03T05:30:19.644Z	21	2019-03-03T05:29:19.644Z
6.178	2019-03-03T05:31:20.101Z	30	2019-03-03T05:30:20.101Z
5.343	2019-03-03T05:32:20.576Z	31	2019-03-03T05:31:20.576Z
5.299	2019-03-03T05:33:20.739Z	27	2019-03-03T05:32:20.739Z
5.717	2019-03-03T05:34:21.006Z	23	2019-03-03T05:33:21.006Z
3.612	2019-03-03T05:35:21.272Z	17	2019-03-03T05:34:21.272Z
4.97	2019-03-03T05:36:21.436Z	31	2019-03-03T05:35:21.436Z
4.113	2019-03-03T05:37:21.499Z	24	2019-03-03T05:36:21.499Z
2.028	2019-03-03T05:38:21.562Z	12	2019-03-03T05:37:21.562Z
3.5700000000000003	2019-03-03T05:39:21.924Z	18	2019-03-03T05:38:21.924Z
4.607	2019-03-03T05:40:22.091Z	24	2019-03-03T05:39:22.091Z
4.773	2019-03-03T05:41:22.456Z	22	2019-03-03T05:40:22.456Z
6.526	2019-03-03T05:42:22.720Z	33	2019-03-03T05:41:22.720Z
4.657	2019-03-03T05:43:22.885Z	19	2019-03-03T05:42:22.885Z
3.61	2019-03-03T05:44:23.153Z	24	2019-03-03T05:43:23.153Z
4.066	2019-03-03T05:45:23.219Z	29	2019-03-03T05:44:23.219Z
6.296	2019-03-03T05:46:23.285Z	30	2019-03-03T05:45:23.285Z
5.58	2019-03-03T05:47:23.344Z	26	2019-03-03T05:46:23.344Z
5.394	2019-03-03T05:48:23.615Z	19	2019-03-03T05:47:23.615Z
5.873	2019-03-03T05:49:23.681Z	18	2019-03-03T05:48:23.681Z
4.86	2019-03-03T05:50:24.046Z	23	2019-03-03T05:49:24.046Z
4.069	2019-03-03T05:51:24.211Z	13	2019-03-03T05:50:24.211Z
2.305	2019-03-03T05:52:24.674Z	19	2019-03-03T05:51:24.674Z
2.771	2019-03-03T05:53:25.039Z	13	2019-03-03T05:52:25.039Z
2.145	2019-03-03T05:54:25.102Z	8	2019-03-03T05:53:25.102Z
2.5869999999999997	2019-03-03T05:55:25.467Z	12	2019-03-03T05:54:25.467Z
2.254	2019-03-03T05:56:25.733Z	12	2019-03-03T05:55:25.733Z
3.9	2019-03-03T05:57:25.898Z	23	2019-03-03T05:56:25.898Z
3.784	2019-03-03T05:58:26.262Z	20	2019-03-03T05:57:26.262Z
6.351	2019-03-03T05:59:26.424Z	21	2019-03-03T05:58:26.424Z
4.941	2019-03-03T06:00:26.887Z	13	2019-03-03T05:59:26.887Z
2.9450000000000003	2019-03-03T06:01:27.253Z	19	2019-03-03T06:00:27.253Z
4.145	2019-03-03T06:02:27.717Z	22	2019-03-03T06:01:27.717Z
4.205	2019-03-03T06:03:28.181Z	19	2019-03-03T06:02:28.181Z
3.797	2019-03-03T06:04:28.647Z	23	2019-03-03T06:03:28.647Z
3.783	2019-03-03T06:05:28.809Z	20	2019-03-03T06:04:28.809Z
3.527	2019-03-03T06:06:29.275Z	22	2019-03-03T06:05:29.275Z
2.815	2019-03-03T06:07:29.739Z	7	2019-03-03T06:06:29.739Z
